时间,价格,最低价,最高价,成交量,信号原因
2024-11-25 20:24:11,36.54,36.43,36.86,12033100.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-11-25 20:24:11,36.5,36.46,36.73,4701200.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-11-25 20:24:11,36.41,36.4,36.58,3885600.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-11-26 20:24:11,36.24,36.23,36.45,4557900.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-11-26 20:24:11,36.45,36.24,36.57,4525700.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-11-26 20:24:11,36.33,36.31,36.48,4481300.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-11-26 20:24:11,36.31,36.24,36.45,3919900.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-11-26 20:24:11,36.4,36.27,36.49,4079800.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-11-26 20:24:11,36.39,36.31,36.45,5823000.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-11-27 20:24:11,36.24,36.22,36.48,7138800.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-11-27 20:24:11,36.48,36.27,36.6,6244900.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-11-27 20:24:11,36.49,36.4,36.51,2782000.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-11-27 20:24:11,36.45,36.38,36.57,3420300.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
