时间,价格,最低价,最高价,成交量,信号原因
2024-10-18 20:24:10,138.7,138.44,139.29,1679700.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-18 20:24:10,140.37,138.8,142.2,7097100.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-18 20:24:10,142.61,140.22,142.76,4327200.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-18 20:24:10,143.7,141.89,143.93,5930900.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-18 20:24:10,143.0,142.97,145.55,8403700.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-21 20:24:10,141.5,141.25,145.36,9946600.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-21 20:24:10,142.95,141.11,143.21,4393900.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-21 20:24:10,141.93,141.68,143.53,2928300.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-21 20:24:10,142.95,141.72,143.25,1862400.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-21 20:24:10,142.58,142.49,144.18,3863200.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-21 20:24:10,142.51,142.5,143.25,2071400.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-21 20:24:10,142.75,142.21,142.82,1612500.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-21 20:24:10,143.01,142.55,143.32,3156500.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-22 20:24:10,144.88,142.22,146.13,11194700.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-22 20:24:10,146.0,144.51,146.0,5085300.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-22 20:24:10,145.25,144.8,146.45,3424500.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-22 20:24:10,145.7,145.1,145.88,1856500.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-22 20:24:10,145.12,144.8,146.2,2564300.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-22 20:24:10,144.9,144.26,145.79,2101800.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-22 20:24:10,145.15,144.63,145.2,1621500.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-22 20:24:10,145.44,144.85,145.46,2940100.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-23 20:24:10,145.36,144.09,146.87,6737200.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-23 20:24:10,145.89,145.09,146.43,3732600.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-23 20:24:10,146.7,145.89,147.75,4653200.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-23 20:24:10,148.11,146.62,148.15,4108000.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-23 20:24:10,148.48,148.12,149.5,6700900.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-23 20:24:10,148.69,147.86,148.81,2596400.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
2024-10-23 20:24:10,148.83,147.42,149.0,3771000.0,检测到二买信号: 30分钟_D1#SMA#21_BS2辅助V230320=二买_任意_任意_0
